"","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X10","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X11","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X12","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X13","X14","X15","X16","X17","X18","X19","X1","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X2","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X3","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X4","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X5","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X6","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X7","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X8","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X9"
"hsa-let-7a-3p",19.1069847898106,39.3263540658729,15.4940214452742,37.8803478260625,37.0203349000105,11.508540860417,20.1726076318533,8.39845921062572,6.91135513315507,6.43137146482576,30.8635574128608,15.2319582546053,0,0,0,21.2381613138536,10.7588035803848,16.5251970215184,0,25.8063183051689,3.94868202066696,9.62191954435376,11.6577960101594,9.97866183322707,0,0,0,0,24.0570667988478,2.59350705403903,0,0,12.2388147601742,0,8.0795141897114,0,0,11.2687430243337,0,26.5959291927266,2.25232916512742,24.2056167844929,0,0,16.1043875641657,27.6170225686145,25.7576074721304,12.5865891042272,33.1339280086319,11.537928012348,7.95209175770211,0,38.6369127492442,26.4280785872045,26.2042641443298,0,23.8253488043442,5.75734098155665,16.1265930572557,15.0586111352696,25.377101602514,18.4921406613927,14.3262009450144,32.0875834254732,15.4033316753203,5.71151394882404,34.697178864659,12.6236201039951,19.1498832140124,19.8135094090903,11.2065013649649,21.2788294699039,0,25.8021648071638,43.592191664033,20.5285647442227,20.3478340057483,14.9303391663868,16.25650722443,17.2524301629312,0,19.5785587091533,35.9262413017241,31.9175573974551,29.5292942151983,0,19.3604076271724,48.2424072861861,34.0170045730881,25.5790333890834,30.412428146547,38.593925269599,41.6989770437844,21.5999617663942,20.9173585968995,35.352851813763,38.5964048575669,20.8984857079081,14.0200088087274,38.5264583376744,26.1038110897314,15.6146599959109,3.85493302762096,14.357860659129,14.0140751323015,0,0,18.0867991834422,0,17.4737620486182,0,0,24.2237710374931,7.71144417914541,43.1091281382261,29.6453991418203,32.9865310410615,20.5691786640682,29.0431939087999,39.2520559084978,12.1447346963743,18.3811381976105,14.4326006943117,26.9251211739798,17.0265562442952,24.9164272231856,20.5141765245288,20.3392842673043,11.7866237011137,13.6332043161331,24.8069686631261,27.594136070673,0,7.88843218497038,46.975874663249,0,40.9890466270309,26.4182174599608,36.969670682988
"hsa-let-7a-5p",4528.35539518512,14605.8079000652,3638.51270273188,7607.8890573864,6116.14901321753,7357.55402882533,6608.54626019515,11125.1589676755,11369.1791940401,8949.25339330505,6716.93887828561,10956.1299731339,6649.81229203137,5465.70027032369,8378.05640748131,8912.9483647139,6439.14394286029,7552.01503883393,102.473101962003,4877.39415967693,12434.3996830803,2604.97435130804,11745.2294802356,14844.9225872308,15972.066790846,11349.2742831619,13752.4680224166,9449.74879132876,15739.3359531462,13141.3002428157,15167.6426851615,9114.37921189157,3662.46531698212,12808.4165785408,12426.2928237761,12706.4243984615,18245.5944560712,7362.99669209964,4116.77142298092,14857.7376201955,9914.75298489089,7468.77753450408,88.5561586048212,8058.76907106192,4584.38232659916,4128.74487400786,5311.79105203045,4388.52406767389,4150.02448308114,4799.77805313677,6478.30408527465,3880.4982051236,5878.6062747975,5089.29284793595,3190.7545163978,71.4770844175664,5513.18571332525,5639.31549143474,6227.16871910889,9062.27218120523,5474.20334568517,9400.82034991538,3857.84125447887,10207.4168163477,6179.8166681385,7166.52212728696,6312.84554284648,8462.03334304474,5280.58029626391,9865.60356961856,7822.1379527455,7934.34353859042,6871.6099235472,5309.8139155795,6211.88731212471,6195.89408643811,7660.95950316424,7136.70212153287,5376.83976448023,6542.1215177835,69.0413686351871,9393.07115333087,9500.24543422466,6053.69671971732,5833.67612384695,7424.63707582546,8466.95160228339,5732.80606584178,10964.8144740587,8691.31069285594,6190.23251760001,11729.337121519,8173.9923333685,8398.45786135164,5077.99640761202,9473.52449632925,11283.6004807084,11809.7342735388,6845.97030130161,7369.38910890328,6483.53407941205,6058.48807841341,5339.08224325503,6185.84496730808,6946.30990724409,5520.63027544641,113.299557130588,4675.43758891981,8131.09378890755,4136.91316501037,5073.76634503062,6446.75164065456,7682.97271405824,6643.40916033377,5521.88741334187,5933.31488538433,5996.21830924185,6106.1076091334,7834.40155689878,7840.389380191,7643.08636891821,8703.46893656856,9068.00301623601,5840.05878263621,7041.08909831049,8204.62353563467,3599.55417417065,6139.55823668772,4997.52844927219,6859.44937163152,7853.70252342228,9202.64437956946,77.9487730889315,8411.69818657341,6215.49541638113,1277.67950090449,6878.92647217171,5396.86442396343,3499.17933014481
"hsa-let-7b-3p",41.3984670445897,50.3377332043173,23.2410321679112,48.48684521736,54.5562830105418,35.9641901888031,36.310693737336,78.3856192991734,46.9972149054545,54.666657451019,45.2665508721959,69.6318091639098,0,0,7.18529709046425,14.1587742092357,26.897008950962,41.3129925537961,0,32.2578978814612,3.94868202066696,8.33899693843993,34.9733880304781,46.5670885550596,22.4958687195014,80.2920005883402,42.7833433120461,144.35843206928,16.0380445325652,44.0896199186634,31.5915125762981,73.1036883748095,42.8358516606096,107.434603101119,77.5633362212294,72.4951599497287,90.827263763751,119.448676057937,48.6527531806836,23.4669963465234,6.75698749538225,24.2056167844929,0,7.19854316307451,40.2609689104141,41.4255338529217,34.3434766295072,20.9776485070454,24.8504460064739,26.921832028812,73.3359573210306,27.5864801312104,28.9776845619331,32.7204782508246,40.0771098677985,0,26.2078836847787,57.5734098155665,50.6835781799465,42.1641111787548,27.1897517169793,38.4441871644743,53.2116035100534,32.0875834254732,21.5646643454484,34.2690836929442,44.9022314719116,84.1574673599676,31.916472023354,32.0064382762227,29.4170660830329,47.8773663072838,53.2234477998268,33.9502168515313,56.6698491632429,46.6558289641424,15.2608755043112,34.3397800826895,32.5130144488601,34.5048603258624,0,50.4920724604479,42.6624115457973,42.5567431966068,57.4180720851078,0,45.1742844634022,109.885483262979,41.954305640142,95.6433422374422,54.7423706637845,48.2424065869988,51.6273049113521,58.2544423396692,35.6825529005933,48.8701186837312,33.3332587406259,47.3699009379249,70.1000440436372,19.2632291688372,39.1557166345972,39.0366499897771,23.1295981657258,86.147163954774,60.7276589066396,33.4511248025318,0,18.0867991834422,0,0,44.0957422707713,43.0102036811646,16.1491806916621,50.1243871644452,35.2711048403668,21.1752851013002,49.4797965615923,41.1383573281365,50.8255893403999,29.2302543999451,58.6995510324756,35.7411020509093,36.0815017357791,50.0807253836023,18.2427388331734,39.1543856364344,84.7919296347191,41.6471058806707,45.1820575209357,58.4280184977131,20.213085577362,61.3203023792734,0.0458522194640774,60.4779800847729,24.955933414851,29.677152221498,0,15.0961242628348,7.39393413659759
"hsa-let-7b-5p",691.035949898152,1420.46790885933,560.367108937415,1092.46923130364,943.044320610794,2628.9823028015,1092.34670326486,5235.03957462336,3309.15683775465,3736.62682106377,1048.33216679017,2585.08091521015,1099.05077948432,2861.9169793276,3872.87513176023,3681.28129440129,3050.12081503909,2189.58860535119,25.1129073852253,1741.9264855989,4106.62930149364,493.28374197387,2937.76459456016,3811.84882029274,1912.14884115762,3287.95742409253,2695.3506286589,1844.57996532969,1928.57485504097,1994.40692455601,1947.52383411532,1900.69589774505,2089.77762029974,2749.06190288157,2078.05104959377,2069.40729311044,3223.83358559102,1613.68400108459,1444.61251751876,4616.74041457271,1567.62109892868,3558.22566732045,24.7359396609247,986.200413341208,1554.07339994199,1360.13836150426,1181.98798733221,1833.44647951576,588.127222153216,911.496312975493,2118.79067055218,790.812430428033,1118.53862409062,1031.9535448337,840.077879921161,28.4216572358607,943.483812652031,1381.7618355736,1829.21641249443,1433.57978007766,1395.74058813827,2863.36199083249,1363.03568991137,1823.05011017318,2301.25775229285,1430.73424418042,1471.56858596583,1319.16830086749,903.236158260917,2025.55030805238,2356.16691198387,1485.08497342038,1399.42956769327,730.608666644954,1547.52280407317,1554.57222108522,1192.89176858699,2584.44170970155,1081.0577304246,1224.92254156811,34.8703873425185,1490.54658804159,1468.48511320797,1478.84682608209,1253.35448780064,1027.38675503019,1957.55232674743,1256.98272317896,1581.7907126486,863.014343909943,1050.53216083358,882.836040542077,1043.46725888137,1321.52493352575,1118.4634685048,1220.71317733405,1299.41229687142,1337.50308530612,919.71257785252,713.943431070028,1243.19400314846,1245.26913467389,1372.35615783306,1055.30275844598,1712.05284532949,1155.25848871601,37.3756624428202,1663.98552487668,2564.39493902642,1301.79527262206,912.230668226582,1529.25168644141,1069.88322082261,1349.50273135045,517.309537658713,969.828057639551,1159.11004908174,1304.6736181209,1466.6812923944,1054.79460877516,1178.0392655483,1417.38998990463,1609.23497741575,1342.48654173463,2436.62181681753,1256.49982996921,1165.20522659324,1308.49395452991,1041.15176026504,1242.5691933847,1734.65025318452,1372.04176573624,26.2733217529163,1220.07751127542,1002.64132484372,385.802978879474,1159.74890750599,924.637611098629,2144.2408996133
"hsa-let-7c-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86195638579227,0,0,0,0,0,0,0,0,0,0,0,6.91139702453817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8662331585657,0,0,0,0,0,0,0,0,1.64051634528879,0,0,0,0,2.22426377296377,0,0,0,0,0,0,0,4.87631333184521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93845409486689,0,0,0,0,0,3.23101454087757,0,0,0,0,0,0,0,1.53300755948184,0,0,0,0,0,0,0
"hsa-let-7c-5p",117.826406203832,287.868911762189,80.0524441339165,296.98192695633,210.431377326376,237.3636552461,236.019509292684,352.73528684628,275.071934299572,360.156802030243,328.18249382342,195.839463273496,99.913707225847,157.124853767006,215.558912713927,141.587742092357,236.693678768465,227.221459045879,125.875532683219,167.741068983598,244.818285281352,138.555641438694,169.038042147311,196.247016053466,310.442988329119,200.730001470851,311.367665215447,215.391946262101,320.760890651304,282.692268890254,191.407399726983,268.832918539622,156.044888192221,259.106983949758,140.583546900978,342.704392489626,486.193000147138,477.794704231749,168.413376394674,378.600874390578,272.531828980417,209.782012132272,163.436556007379,169.165764332251,391.873430728031,220.936180548916,177.441295919121,192.994366264817,273.354906071213,130.763184139944,493.029688977531,285.060294689175,206.707483208456,179.962630379535,198.844122036385,150.482524472013,304.964464695606,457.708608033754,287.974876022424,325.266000521823,235.644514880487,557.684031525159,176.007611610177,459.922029098449,388.163958218071,332.695687519,487.801514626676,353.461362911864,244.161010978658,516.675360744739,494.486872729076,384.792166247429,370.828587387924,294.687882271292,318.222999147441,358.316766444614,366.26101210347,379.230614826224,282.456813024472,241.534022281036,140.081040269945,189.602884341274,298.636880820581,409.608653267341,223.110222959276,141.421658587152,247.382986347203,195.649762882866,246.056333078671,433.731435727935,237.216939543066,385.135212586207,332.10256717014,263.78135126839,280.538691770182,329.613353675378,358.478729964977,336.46561989732,347.69621845644,198.652050803634,290.404898373262,183.472254951953,258.280512850604,282.371259629537,366.701632628555,268.803681448916,196.845155532186,135.650993875816,490.458048447676,65.5266076823184,256.306501948858,176.819726244788,197.827463472861,239.054769553508,227.302675637919,228.693079094043,176.844458081246,470.152655178703,353.963925763499,274.764391359484,309.690734757544,362.516892230651,406.999339579589,240.172080871899,235.939422242376,185.093459372236,161.378188659627,286.687054434385,245.554660439868,190.864860425863,330.759582175014,248.347224636057,145.213979042733,191.951849834279,107.163714075537,95.2792781848094,149.489464169171,133.978102832658,188.545320483239
"hsa-let-7d-3p",1213.29353415298,781.807918829552,1332.48584429358,1539.45733565118,1038.51781587924,818.544968697158,1022.75120693496,1049.80740132821,1658.72523195722,1360.23506481065,824.056982923384,1673.33941397021,605.033004867629,16.8348057607506,855.050353765246,715.018097566405,828.427875689628,1024.56221533414,763.105838965902,606.44848017147,1480.75575775011,694.061129799385,1463.053399275,1576.62856964988,1606.2050265724,1569.70861150205,2001.30972604127,1177.78149339064,1066.52996141559,1058.15087804792,932.878783135391,2117.64877937351,455.895849816487,2045.99722082278,1394.52414914419,1996.91213316071,1386.98574547469,1259.84547012051,1605.54085496256,1112.33562682521,1177.96815336164,1126.90593696695,702.993910544771,367.1257013168,550.23324177566,697.329819857515,930.135825382487,478.290385960634,1101.70310628701,976.877905045465,812.880490787327,634.48904301784,1149.44815429001,1286.16649124395,647.399467095206,559.551376831008,1160.29448677156,935.567909502956,974.506980459881,1225.77094641094,926.264208491762,736.765814772331,1236.14648154124,1884.84841899261,754.763252090694,1003.79857650582,1014.38222916091,1045.6565319476,1006.96469233682,980.006657695773,1009.98593551746,982.372627193898,810.500547473449,1504.67361085987,932.872901610307,959.243843502768,1182.71785158412,774.884602735472,774.21615656348,1442.30316162105,809.712375426275,1570.40649856577,1227.10567946201,813.897713635105,1069.61665712829,341.075764827836,901.334532865026,1152.45750739222,1915.15735746486,1515.83576127481,1046.18752824122,1637.02566351882,2108.77683907138,1152.65250517031,589.37733928911,1205.11633094563,1780.11297555202,2082.18579269791,1355.73485180394,1726.46691425703,1132.2528060171,788.540329793498,797.971136717539,1007.44322291555,773.109811465297,990.392230760674,917.242727714388,443.126579994334,112.10469678804,174.737620486182,350.009954274247,95.578230402588,1651.25372572245,1469.0301161272,223.38366398899,1173.11079461203,919.957699034049,999.074392254743,1887.807604072,1920.01013901354,1115.29146961704,948.670965865563,1252.74974026625,1378.56620410776,1008.82345747449,1235.14289234934,1924.2297580008,724.465934854458,948.82320793965,1205.56478166948,1104.36949381769,1421.09800763966,725.427964141168,281.354081263944,1981.79471235582,181.186824089146,274.867724440089,1234.10815848674,506.484488356935
"hsa-let-7d-5p",1012.67019385996,597.760581801267,857.33585330517,1242.47540869485,878.745844205513,1263.78164323454,1175.05439455546,1654.49646449327,1556.43717598652,1469.56837971269,811.71155995824,1838.71496073449,88.8121842007529,145.901649926505,1616.69184535446,1592.86209853902,1124.29497415021,1061.74390863256,107.371285136211,741.931651273607,801.582450195394,372.689017017969,804.387924700997,1064.39059554422,773.857883950847,855.109806265824,879.43539030317,875.31620715024,1216.88662890839,897.353440697503,1139.15277701593,613.127708950015,397.76147970566,1284.47547531191,938.839548844465,1037.99888109839,1456.44188835285,574.705894241019,288.173999608665,1666.15674060316,959.492224344279,710.031425678458,81.0830650516718,215.956294892235,907.213832781332,428.063849813524,1041.75212442839,730.022168045178,745.513380194217,1180.71463326361,619.379591349909,698.857496657331,1149.44815429001,1069.70794281542,394.605389467554,75.8756742278782,995.899580021589,742.696986620808,801.722054846427,864.364279164474,920.826258148366,926.066938911324,652.865443065656,1649.53947387247,921.119234184154,965.245857351262,618.42618799951,900.484900751654,1002.17722153331,1168.99705513633,998.779434152497,1115.3653113808,707.524746295524,894.927716206366,784.659449952595,780.085460280461,1284.45702161286,968.9790118985,1024.15995513909,1200.76913934001,96.3182045793348,1471.99847979081,1259.6638356417,680.907891145709,644.722923698496,124.783816400428,948.659973731447,683.434103220969,1880.00645273934,1233.35426210841,831.562678178441,1614.51254044489,1320.96402277988,866.616647839573,734.568416608765,863.025500159508,1416.9558934831,2025.75988128655,762.688479194773,1716.83529967261,734.169686898697,769.022004798609,589.804753226007,789.682336252095,941.278713052915,614.067076732191,128.762821396147,569.734174278429,217.202850026828,61.1581671701639,101.971404001159,195.935372325305,1364.60576844545,936.940467766168,78.3802329785928,1046.05908400423,565.352490342637,740.490431906457,854.959020690298,1304.50449636327,939.19281651961,1057.93662070691,1392.74596700107,1142.7021426237,1323.20665669951,1099.88228742348,384.29890689284,695.409814472595,652.193178128289,638.813002241663,1211.86635802457,1353.64567502246,83.8637093997975,394.421609248519,1465.06009106008,14.0575984207096,337.556854575548,1220.89904975676,365.999739761581
"hsa-let-7e-3p",9.55349239490532,0,0,0,1.94843867894792,5.75427043020849,12.103564579112,2.79948640354191,4.14681307989304,9.64705719723865,2.05757049419072,17.4079522909775,55.5076151254705,0,0,0,0,8.26259851075922,0,0,3.94868202066696,0,0,0,0,0,4.75370481244957,13.7484221018362,0,0,0,0,0,0,0,0,0,0,7.48503895087441,6.25786569240625,15.7663041558919,0,0,0,2.68406459402761,6.90425564215361,0,0,0,7.69195200823201,0,0,5.79553691238663,2.51695986544805,0,0,0,11.5146819631133,6.91139702453817,3.01172222705392,0,0,0,3.5652870472748,6.16133267012812,0,6.12303156435158,8.41574673599676,3.1916472023354,0,0,1.77323578915866,0,0,0,9.33116579282848,0,0,0,0,0,0,0,0,0,0,0,0,7.93730106705389,0,0,0,7.44624590067579,3.2727214797567,0,4.15915903691329,5.26314611694094,11.1458590442176,0,2.40790364610465,6.52595277243286,0,7.70986605524192,0,2.33567918871691,4.7787321146474,0,0,0,0,0,0,0,0,0,0,7.330340231347,2.93845409486689,3.63039923859999,6.68120100570175,2.02412244939571,0,1.44326006943117,0,6.68900423883025,3.55948960331222,1.36761176830192,5.81122407637266,1.96443728351894,0,1.83755323430563,1.53300755948184,0,0,5.87198433290612,0,0,7.54806213141738,0
"hsa-let-7e-5p",283.420274382191,640.23304419241,82.6347810414622,163.64310260859,249.400150905334,140.979625540108,328.813504399209,145.573292984179,405.005410802887,234.74505846614,422.830736556193,289.4072068375,1054.64468738394,213.240872969508,287.41188361857,141.587742092357,134.48504475481,408.998626282581,329.266757821762,96.7736936443835,469.893160459369,263.640595515293,594.547596518128,365.884267218326,697.371930304543,469.70820344179,492.00844808853,364.33318569866,290.689557152745,438.302692132595,392.106420799935,561.24767203886,177.462814022525,279.645952189677,714.229054370488,665.637377720236,195.545756103134,369.614771198146,209.581090624483,179.91363865668,367.129653915769,244.745680820984,519.529463814951,208.757751729161,85.8900670088835,255.457458759684,94.4445607311449,75.5195346253633,99.4017840258956,238.450512255192,181.130978925437,137.932400656052,301.367919444105,259.246866141149,151.059875655548,324.565175041659,254.931232206483,187.113581900591,154.354533548019,337.312889430039,179.452361332063,389.308224450373,94.1436062100945,424.269158625701,166.355982093459,175.629053926339,257.167325702766,486.009374003813,132.453358896919,187.466281332162,140.081267062061,203.035497858667,277.687553738227,202.343292435127,187.446424155342,98.9103574039819,259.434883573291,122.428781164371,148.340628422924,338.147631193451,338.712358427329,366.840363182029,211.066667647629,223.422901782186,191.940412398789,241.248711707494,187.150607062666,150.087489334801,348.107346797935,275.808707847508,147.717508140371,439.809940051472,476.55973764325,215.345073367991,364.20812615778,217.316059678719,452.630566056921,557.292952210881,147.210092491638,208.283665388052,254.512158124882,167.857594956042,223.586115602016,205.796002780849,116.783959435845,298.670757165463,498.708593967434,126.607594284095,532.497309743191,8.73688102430912,77.1675489738498,372.755098570093,375.468451081144,331.592099703253,82.2992446275225,110.111482526761,379.345106972207,270.337776727754,332.181530331899,336.565500662226,259.087673522651,284.907642062962,220.818790622968,410.338846691451,203.102492342664,363.067939537847,153.172518049815,330.271235007179,165.012731815591,214.236067824948,491.545490176757,260.611285111912,379.472968284704,376.015267483588,396.358942471163,120.270564266071,434.001670168562,233.989926073939,73.9393413659759
