"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138"
"hsa-let-7a-3p",9,38,0,3,9,0,36,21,18,14,8,0,6,4,8,2,3,3,0,17,20,17,7,2,7,2,14,6,20,5,1,11,6,12,13,5,19,16,9,11,7,9,7,3,36,28,18,0,8,15,25,21,22,40,67,29,31,59,26,10,28,8,2,1,6,6,0,4,0,0,6,2,11,4,7,14,34,5,15,10,46,22,5,9,6,7,20,17,3,31,0,0,12,3,0,4,19,13,16,19,3,5,1,5,0,0,0,1,0,3,1,2,3,0,0,0,0,9,1,0,0,0,5,0,0,5,0,17,1,9
"hsa-let-7a-5p",6290,17195,10837,1006,3965,4254,6031,5878,1537,6095,3759,2142,1522,519,1614,918,480,1182,382,2774,3861,1908,2171,1769,2466,2929,2745,1761,8143,1763,4593,2703,3692,3082,5781,4312,8310,3653,1270,2809,2844,4162,2459,1752,16695,7683,3238,1636,3691,1961,9294,7545,6611,14121,15332,11779,8496,18372,15998,4606,5941,1796,1449,1274,2403,2691,2091,848,1701,1150,1851,1629,1210,1315,1973,4137,8996,3581,7903,5794,10258,10611,2254,2454,2399,3293,8172,5808,3005,4096,775,2629,2776,1373,8600,1361,4771,2920,8477,6073,3713,7971,2661,4889,1188,956,1126,1216,1117,1788,2903,1941,4320,3485,2699,5628,3945,7542,4861,7874,3702,7777,7363,3689,16210,3111,1032,8572,4243,2427
"hsa-let-7b-3p",83,79,90,8,29,28,54,43,4,44,13,2,15,4,12,5,3,6,3,14,26,26,11,20,22,14,15,26,27,7,24,22,39,20,20,16,53,25,12,25,6,23,16,10,98,37,34,0,21,41,37,85,60,60,103,89,41,52,68,50,15,12,10,6,34,25,0,0,16,9,4,13,9,5,14,28,35,29,35,25,93,29,11,62,23,27,20,38,23,17,19,0,8,13,32,9,30,27,50,36,28,34,17,32,0,0,1,2,5,10,0,6,14,5,20,18,63,8,17,17,31,68,48,22,76,50,13,15,3,9
"hsa-let-7b-5p",1319,3645,1452,162,605,665,755,908,756,684,464,230,368,119,276,277,52,168,44,374,580,353,254,294,505,361,489,426,1036,505,572,409,402,329,775,904,1122,342,193,447,259,1130,335,224,1827,846,503,180,584,279,1073,510,776,716,1425,1279,739,1569,1355,473,443,235,215,237,283,524,498,216,221,244,197,238,76,153,310,530,898,390,888,695,1680,3039,280,465,371,454,1498,683,381,561,220,405,397,179,751,172,529,331,2596,787,1540,1979,905,974,174,425,461,429,454,433,778,415,952,326,627,809,604,780,625,802,618,1380,945,468,2274,477,228,2256,549,916
"hsa-let-7c-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7c-5p",117,294,152,13,72,63,49,97,23,98,85,20,26,14,22,5,9,10,11,31,82,54,46,25,39,46,27,19,69,19,60,42,24,40,65,28,76,48,34,48,46,52,33,18,102,110,55,14,48,40,94,240,108,173,209,175,118,219,230,84,74,21,18,21,43,44,62,1,53,21,26,25,24,21,105,104,120,56,80,86,254,99,28,56,57,33,167,74,49,51,56,35,40,21,109,16,108,55,125,109,35,96,42,28,18,13,5,8,13,39,22,13,27,30,29,71,53,48,43,29,63,70,31,21,103,126,25,33,69,35
"hsa-let-7d-3p",869,1432,1310,137,463,794,973,730,267,772,1062,77,188,98,305,102,132,249,64,581,1002,402,462,307,409,394,483,573,1557,234,680,473,468,606,599,627,1049,1085,207,497,455,467,365,411,2913,1055,618,76,391,417,1663,1331,1157,1997,4146,1711,1087,2965,2926,917,1409,327,197,192,394,315,29,23,111,17,405,374,38,271,336,1016,2275,542,899,846,2501,1590,342,1344,475,609,1181,906,94,1332,115,93,652,379,460,512,996,517,1085,972,351,1170,410,755,109,3,116,99,149,239,360,245,456,348,368,832,486,508,393,489,864,1246,856,594,1262,552,404,665,513,400
"hsa-let-7d-5p",636,1715,1139,113,579,472,573,685,181,755,532,60,302,61,346,161,84,291,69,544,828,240,401,240,316,274,479,298,1307,276,619,280,408,605,689,605,1178,619,160,395,475,577,486,337,2727,1047,362,29,415,240,1605,1066,897,1926,2555,1253,788,2294,2804,483,1384,207,187,145,316,364,61,14,37,41,330,226,19,232,237,451,1509,434,930,921,2004,2028,299,258,306,306,1257,862,147,972,9,122,626,310,378,325,781,416,1562,1101,565,1093,435,831,16,26,216,221,199,251,195,132,303,170,205,365,373,596,339,586,246,798,579,309,1315,251,71,988,422,240
"hsa-let-7e-3p",0,0,0,0,0,4,8,6,0,2,0,0,1,1,0,0,0,2,0,3,2,0,0,4,3,1,0,0,3,1,0,3,4,2,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,15,5,4,9,16,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,1,2,8,1,0,1,0,11,1,1,1,0,2,1,0,4,0,0,4,3,0,0,0,1,8,12,1,3,3,8,10,0,0,0,0,2,1,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,2,4,7,0
"hsa-let-7e-5p",202,749,477,39,285,248,405,329,37,408,399,58,30,36,31,18,12,61,15,147,191,90,103,62,64,111,95,45,349,51,120,112,222,79,117,92,223,147,38,51,102,74,72,96,696,183,113,58,86,51,299,246,167,537,948,325,197,764,776,104,168,75,42,55,84,49,152,2,27,78,92,81,21,23,89,179,397,121,274,146,737,330,100,104,80,108,516,165,142,263,77,172,123,88,406,32,106,125,185,323,51,286,70,129,180,37,39,20,24,95,119,101,110,151,117,199,157,143,168,203,238,175,426,198,181,163,53,114,155,90
