,X1,X2,X11,X14,X15,X18,X21,X22,X26,X40,X46,X48,X52,X56,X59,X60,X62,X64,X66,X67,X68,X69,X74,X77,X78,X88,X89,X90,X93,X97,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138
hsa-let-7a-3p,9,38,8,6,4,3,17,20,2,16,3,36,8,22,29,31,26,28,2,1,6,6,0,2,11,5,9,6,17,0,3,5,1,5,0,0,0,1,0,3,1,2,3,0,0,0,0,9,1,0,0,0,5,0,0,5,0,17,1,9
hsa-let-7a-5p,6290,17195,3759,1522,519,480,2774,3861,1769,3653,1752,16695,3691,6611,11779,8496,15998,5941,1449,1274,2403,2691,1701,1629,1210,2254,2454,2399,5808,775,3713,7971,2661,4889,1188,956,1126,1216,1117,1788,2903,1941,4320,3485,2699,5628,3945,7542,4861,7874,3702,7777,7363,3689,16210,3111,1032,8572,4243,2427
hsa-let-7b-3p,83,79,13,15,4,3,14,26,20,25,10,98,21,60,89,41,68,15,10,6,34,25,16,13,9,11,62,23,38,19,28,34,17,32,0,0,1,2,5,10,0,6,14,5,20,18,63,8,17,17,31,68,48,22,76,50,13,15,3,9
hsa-let-7b-5p,1319,3645,464,368,119,52,374,580,294,342,224,1827,584,776,1279,739,1355,443,215,237,283,524,221,238,76,280,465,371,683,220,1540,1979,905,974,174,425,461,429,454,433,778,415,952,326,627,809,604,780,625,802,618,1380,945,468,2274,477,228,2256,549,916
hsa-let-7c-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-let-7c-5p,117,294,85,26,14,9,31,82,25,48,18,102,48,108,175,118,230,74,18,21,43,44,53,25,24,28,56,57,74,56,35,96,42,28,18,13,5,8,13,39,22,13,27,30,29,71,53,48,43,29,63,70,31,21,103,126,25,33,69,35
hsa-let-7d-3p,869,1432,1062,188,98,132,581,1002,307,1085,411,2913,391,1157,1711,1087,2926,1409,197,192,394,315,111,374,38,342,1344,475,906,115,351,1170,410,755,109,3,116,99,149,239,360,245,456,348,368,832,486,508,393,489,864,1246,856,594,1262,552,404,665,513,400
hsa-let-7d-5p,636,1715,532,302,61,84,544,828,240,619,337,2727,415,897,1253,788,2804,1384,187,145,316,364,37,226,19,299,258,306,862,9,565,1093,435,831,16,26,216,221,199,251,195,132,303,170,205,365,373,596,339,586,246,798,579,309,1315,251,71,988,422,240
hsa-let-7e-3p,0,0,0,1,1,0,3,2,4,0,0,0,0,0,5,4,16,2,0,2,0,1,0,0,0,1,1,1,1,0,1,3,3,8,10,0,0,0,0,2,1,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,2,4,7,0
hsa-let-7e-5p,202,749,399,30,36,12,147,191,62,147,96,696,86,167,325,197,776,168,42,55,84,49,27,81,21,100,104,80,165,77,51,286,70,129,180,37,39,20,24,95,119,101,110,151,117,199,157,143,168,203,238,175,426,198,181,163,53,114,155,90
